Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	17:6 1/2/2022	106
Lana	17:10 1/2/2022	122
Mike	15:52 1/3/2022	122
Jim	15:52 1/3/2022	110
Tom	15:53 1/3/2022	135
TomH	15:53 1/3/2022	118
Lana	15:53 1/3/2022	140
Mike	15:50 1/5/2022	166
Jim	15:50 1/5/2022	155
Lana	16:5 1/5/2022	122
Mike	16:5 1/5/2022	107
Jim	16:5 1/5/2022	136
Tom	13:23 1/6/2022	133
Lana	13:23 1/6/2022	149
Mike	13:23 1/6/2022	131
Jim	13:23 1/6/2022	129
TomH	13:23 1/6/2022	139
Mike	14:1 1/6/2022	168
Jim	14:1 1/6/2022	136
Tom	14:18 1/6/2022	189
TomH	14:18 1/6/2022	133
Mike	14:18 1/6/2022	92
Jim	14:18 1/6/2022	160
Jim	14:25 1/6/2022	125
Mike	14:25 1/6/2022	132
Lana	14:25 1/6/2022	136
Lana	14:30 1/6/2022	143
Lana	14:44 1/6/2022	108
Tom	14:44 1/6/2022	140
TomH	14:44 1/6/2022	120
Jim	14:44 1/6/2022	116
